race_id,driver_id,races_with_lap_data_previous_3,avg_lap_time_previous_3_races,best_lap_time_previous_3_races,lap_time_std_previous_3_races,avg_race_pace_rank_previous_3_races,avg_completed_laps_previous_3_races
2018_12,ricciardo,3,79.14733333333334,67.591,9.81712321518999,9.333333333333334,44.0
2018_12,bottas,3,78.714,69.044,9.359816914163794,7.0,44.0
2018_12,gasly,3,80.17399999999999,69.295,10.013675082938665,13.333333333333334,62.666666666666664
2018_12,kevin_magnussen,3,79.92566666666666,68.476,10.378802510673163,9.666666666666666,63.0
2018_12,alonso,3,79.96133333333334,68.661,10.254037264522799,10.0,62.333333333333336
2018_12,sainz,3,80.266,68.766,10.736445594329624,11.333333333333334,58.0
2018_12,grosjean,3,80.05933333333333,69.071,10.603741740012758,12.333333333333334,58.0
2018_12,brendon_hartley,3,,69.17099999999999,4.255000000000003,13.0,40.666666666666664
2018_12,hulkenberg,3,80.565,70.38,9.585559451591756,14.333333333333334,43.333333333333336
2018_12,ocon,3,80.13233333333334,68.85,10.22468712914429,13.666666666666666,63.0
2018_12,perez,3,79.94766666666668,68.504,10.29877456572167,10.666666666666666,63.0
2018_12,ericsson,3,79.87866666666666,68.216,10.502525738549222,10.666666666666666,56.0
2018_12,sirotkin,3,80.84166666666667,68.971,10.557688962184017,17.0,57.333333333333336
2018_12,stroll,3,80.64433333333334,69.203,10.148500622697366,17.333333333333332,58.0
2018_12,vandoorne,3,79.994,68.894,10.21500690161294,10.333333333333334,61.333333333333336
2018_12,max_verstappen,3,78.43366666666667,67.44200000000001,10.19341481327801,4.333333333333333,61.333333333333336
2018_12,leclerc,3,80.68900000000001,69.006,10.883802307404645,15.666666666666666,51.333333333333336
2018_13,vettel,3,82.68066666666665,77.28999999999999,5.779092508536461,3.0,57.666666666666664
2018_13,hamilton,3,82.63233333333334,75.545,6.499614415913884,2.6666666666666665,63.0
2018_13,max_verstappen,3,83.948,75.852,6.595303025638778,9.333333333333334,39.333333333333336
2018_13,bottas,3,82.94466666666666,75.721,6.448423080274911,4.666666666666667,63.0
2018_13,perez,3,84.86733333333333,77.867,6.47093091362355,13.333333333333334,62.666666666666664
2018_13,ocon,3,84.80766666666666,77.941,6.539447394254515,14.666666666666666,62.666666666666664
2018_13,grosjean,3,84.571,76.71600000000001,7.348347886883594,10.333333333333334,57.666666666666664
