race_id,driver_id,driver_position_before_race,driver_points_before_race,driver_wins_before_race,driver_performance_score
2019_08,kubica,19,0.0,0,0.0
2019_08,russell,20,0.0,0,0.0
2019_08,grosjean,17,2.0,0,2.0
2019_09,max_verstappen,4,100.0,0,100.0
2019_09,leclerc,5,87.0,0,87.0
2019_09,bottas,2,151.0,2,171.0
2019_09,vettel,3,111.0,0,111.0
2019_09,hamilton,1,187.0,6,247.0
2019_09,norris,12,14.0,0,14.0
2019_09,gasly,6,37.0,0,37.0
2019_09,sainz,7,26.0,0,26.0
2019_09,raikkonen,8,19.0,0,19.0
2019_09,giovinazzi,18,0.0,0,0.0
2019_09,perez,13,13.0,0,13.0
2019_09,ricciardo,10,16.0,0,16.0
2019_09,hulkenberg,9,16.0,0,16.0
2019_09,stroll,16,6.0,0,6.0
2019_09,albon,15,7.0,0,7.0
2019_09,grosjean,17,2.0,0,2.0
2019_09,kvyat,14,10.0,0,10.0
2019_09,russell,20,0.0,0,0.0
2019_09,kevin_magnussen,11,14.0,0,14.0
2019_09,kubica,19,0.0,0,0.0
2019_10,hamilton,1,197.0,6,257.0
2019_10,bottas,2,166.0,2,186.0
2019_10,leclerc,5,105.0,0,105.0
2019_10,gasly,6,43.0,0,43.0
2019_10,max_verstappen,3,126.0,1,136.0
2019_10,sainz,7,30.0,0,30.0
2019_10,ricciardo,11,16.0,0,16.0
2019_10,raikkonen,9,21.0,0,21.0
2019_10,kvyat,14,10.0,0,10.0
2019_10,hulkenberg,10,16.0,0,16.0
2019_10,norris,8,22.0,0,22.0
2019_10,albon,15,7.0,0,7.0
2019_10,stroll,16,6.0,0,6.0
2019_10,russell,20,0.0,0,0.0
2019_10,kubica,19,0.0,0,0.0
2019_10,vettel,4,123.0,0,123.0
2019_10,perez,13,13.0,0,13.0
2019_10,giovinazzi,18,1.0,0,1.0
2019_10,grosjean,17,2.0,0,2.0
2019_10,kevin_magnussen,12,14.0,0,14.0
2019_11,max_verstappen,3,136.0,1,146.0
