race_id,constructor_id,constructor_position_before_race,constructor_points_before_race,constructor_wins_before_race,constructor_performance_score
2019_15,williams,10,1.0,0,1.0
2019_16,mercedes,1,527.0,10,627.0
2019_16,ferrari,2,394.0,3,424.0
2019_16,red_bull,3,289.0,2,309.0
2019_16,mclaren,4,89.0,0,89.0
2019_16,racing_point,7,46.0,0,46.0
2019_16,haas,9,26.0,0,26.0
2019_16,renault,5,67.0,0,67.0
2019_16,toro_rosso,6,55.0,0,55.0
2019_16,alfa,8,35.0,0,35.0
2019_16,williams,10,1.0,0,1.0
2019_17,mercedes,1,571.0,11,681.0
2019_17,ferrari,2,409.0,3,439.0
2019_17,red_bull,3,311.0,2,331.0
2019_17,mclaren,4,101.0,0,101.0
2019_17,toro_rosso,6,55.0,0,55.0
2019_17,racing_point,7,52.0,0,52.0
2019_17,alfa,8,35.0,0,35.0
2019_17,haas,9,28.0,0,28.0
2019_17,williams,10,1.0,0,1.0
2019_17,renault,5,68.0,0,68.0
2019_18,mercedes,1,612.0,12,732.0
2019_18,ferrari,2,435.0,3,465.0
2019_18,red_bull,3,323.0,2,343.0
2019_18,racing_point,7,58.0,0,58.0
2019_18,renault,5,68.0,0,68.0
2019_18,toro_rosso,6,62.0,0,62.0
2019_18,mclaren,4,111.0,0,111.0
2019_18,alfa,8,35.0,0,35.0
2019_18,haas,9,28.0,0,28.0
2019_18,williams,10,1.0,0,1.0
2019_19,mercedes,1,652.0,13,782.0
2019_19,red_bull,3,341.0,2,361.0
2019_19,ferrari,2,466.0,3,496.0
2019_19,renault,5,73.0,0,73.0
2019_19,mclaren,4,111.0,0,111.0
2019_19,racing_point,6,64.0,0,64.0
2019_19,alfa,8,35.0,0,35.0
2019_19,toro_rosso,7,64.0,0,64.0
2019_19,haas,9,28.0,0,28.0
2019_19,williams,10,1.0,0,1.0
2019_20,red_bull,3,366.0,2,386.0
2019_20,toro_rosso,7,64.0,0,64.0
2019_20,mclaren,4,121.0,0,121.0
2019_20,alfa,8,35.0,0,35.0
2019_20,renault,5,83.0,0,83.0
2019_20,mercedes,1,695.0,14,835.0
2019_20,racing_point,6,65.0,0,65.0
2019_20,haas,9,28.0,0,28.0
2019_20,williams,10,1.0,0,1.0
2019_20,ferrari,2,479.0,3,509.0
2019_21,mercedes,1,701.0,14,841.0
2019_21,red_bull,3,391.0,3,421.0
2019_21,ferrari,2,479.0,3,509.0
2019_21,racing_point,7,67.0,0,67.0
2019_21,mclaren,4,140.0,0,140.0
2019_21,toro_rosso,6,83.0,0,83.0
2019_21,renault,5,91.0,0,91.0
2019_21,alfa,8,57.0,0,57.0
